date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:43:11	1367/1367	---M-Z	200	added ('OK')	text/css	date:Sun,%2013%20Aug%202017%2020:07:16%20GMT	https://getmasum.com/html-preview/keeway/assets/css/switcher/style1.css	getmasum.com/html-preview/keeway/assets/css/switcher/style1.css	(from https://getmasum.com/html-preview/keeway/)
23:43:12	39406/39406	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202017%2015:41:22%20GMT	https://getmasum.com/html-preview/keeway/index.html	getmasum.com/html-preview/keeway/index-2.html	(from https://getmasum.com/html-preview/keeway/)
23:43:12	3938/3938	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Aug%202017%2018:30:04%20GMT	https://getmasum.com/html-preview/keeway/assets/img/logo.png	getmasum.com/html-preview/keeway/assets/img/logo.png	(from https://getmasum.com/html-preview/keeway/)
23:43:13	27182/27182	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Oct%202016%2002:22:24%20GMT	https://getmasum.com/html-preview/keeway/assets/img/portfolio/1.jpg	getmasum.com/html-preview/keeway/assets/img/portfolio/1.jpg	(from https://getmasum.com/html-preview/keeway/)
23:43:13	22586/22586	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Oct%202016%2002:22:40%20GMT	https://getmasum.com/html-preview/keeway/assets/img/portfolio/2.jpg	getmasum.com/html-preview/keeway/assets/img/portfolio/2.jpg	(from https://getmasum.com/html-preview/keeway/)
23:43:13	250386/250386	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Aug%202017%2018:36:56%20GMT	https://getmasum.com/html-preview/keeway/assets/img/laptop.png	getmasum.com/html-preview/keeway/assets/img/laptop.png	(from https://getmasum.com/html-preview/keeway/)
23:43:16	33640/33640	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Oct%202016%2002:22:58%20GMT	https://getmasum.com/html-preview/keeway/assets/img/portfolio/3.jpg	getmasum.com/html-preview/keeway/assets/img/portfolio/3.jpg	(from https://getmasum.com/html-preview/keeway/)
23:43:16	47757/47757	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Oct%202016%2002:23:14%20GMT	https://getmasum.com/html-preview/keeway/assets/img/portfolio/4.jpg	getmasum.com/html-preview/keeway/assets/img/portfolio/4.jpg	(from https://getmasum.com/html-preview/keeway/)
23:43:16	30709/30709	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Oct%202016%2002:23:38%20GMT	https://getmasum.com/html-preview/keeway/assets/img/portfolio/5.jpg	getmasum.com/html-preview/keeway/assets/img/portfolio/5.jpg	(from https://getmasum.com/html-preview/keeway/)
23:43:16	37744/37744	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Oct%202016%2002:23:58%20GMT	https://getmasum.com/html-preview/keeway/assets/img/portfolio/6.jpg	getmasum.com/html-preview/keeway/assets/img/portfolio/6.jpg	(from https://getmasum.com/html-preview/keeway/)
23:43:17	102670/102670	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Jan%202017%2014:39:52%20GMT	https://getmasum.com/html-preview/keeway/assets/img/bg/download-bg.jpg	getmasum.com/html-preview/keeway/assets/img/bg/download-bg.jpg	(from https://getmasum.com/html-preview/keeway/)
23:43:20	354269/354269	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jan%202017%2013:33:00%20GMT	https://getmasum.com/html-preview/keeway/assets/img/team/2.png	getmasum.com/html-preview/keeway/assets/img/team/2.png	(from https://getmasum.com/html-preview/keeway/)
23:43:21	398180/398180	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jan%202017%2013:33:12%20GMT	https://getmasum.com/html-preview/keeway/assets/img/team/3.png	getmasum.com/html-preview/keeway/assets/img/team/3.png	(from https://getmasum.com/html-preview/keeway/)
23:43:21	562884/562884	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jan%202017%2013:33:08%20GMT	https://getmasum.com/html-preview/keeway/assets/img/team/1.png	getmasum.com/html-preview/keeway/assets/img/team/1.png	(from https://getmasum.com/html-preview/keeway/)
23:43:21	403191/403191	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jan%202017%2013:33:10%20GMT	https://getmasum.com/html-preview/keeway/assets/img/team/4.png	getmasum.com/html-preview/keeway/assets/img/team/4.png	(from https://getmasum.com/html-preview/keeway/)
23:43:22	17642/17642	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Jul%202016%2005:34:34%20GMT	https://getmasum.com/html-preview/keeway/assets/img/testimonial/1.jpg	getmasum.com/html-preview/keeway/assets/img/testimonial/1.jpg	(from https://getmasum.com/html-preview/keeway/)
23:43:22	16010/16010	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Jul%202016%2005:34:44%20GMT	https://getmasum.com/html-preview/keeway/assets/img/testimonial/2.jpg	getmasum.com/html-preview/keeway/assets/img/testimonial/2.jpg	(from https://getmasum.com/html-preview/keeway/)
23:43:22	241765/241765	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Jan%202017%2013:42:40%20GMT	https://getmasum.com/html-preview/keeway/assets/img/bg/testimonial-bg.jpg	getmasum.com/html-preview/keeway/assets/img/bg/testimonial-bg.jpg	(from https://getmasum.com/html-preview/keeway/)
23:43:22	13780/13780	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Jan%202017%2016:28:38%20GMT	https://getmasum.com/html-preview/keeway/assets/img/partner/1.png	getmasum.com/html-preview/keeway/assets/img/partner/1.png	(from https://getmasum.com/html-preview/keeway/)
23:43:22	27953/27953	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Jul%202016%2005:34:30%20GMT	https://getmasum.com/html-preview/keeway/assets/img/testimonial/3.jpg	getmasum.com/html-preview/keeway/assets/img/testimonial/3.jpg	(from https://getmasum.com/html-preview/keeway/)
23:43:23	13996/13996	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Jan%202017%2016:28:48%20GMT	https://getmasum.com/html-preview/keeway/assets/img/partner/2.png	getmasum.com/html-preview/keeway/assets/img/partner/2.png	(from https://getmasum.com/html-preview/keeway/)
23:43:23	11617/11617	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Jan%202017%2016:29:00%20GMT	https://getmasum.com/html-preview/keeway/assets/img/partner/3.png	getmasum.com/html-preview/keeway/assets/img/partner/3.png	(from https://getmasum.com/html-preview/keeway/)
23:43:23	13751/13751	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Jan%202017%2016:28:54%20GMT	https://getmasum.com/html-preview/keeway/assets/img/partner/4.png	getmasum.com/html-preview/keeway/assets/img/partner/4.png	(from https://getmasum.com/html-preview/keeway/)
23:43:24	13996/13996	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Jan%202017%2016:28:48%20GMT	https://getmasum.com/html-preview/keeway/assets/img/partner/6.png	getmasum.com/html-preview/keeway/assets/img/partner/6.png	(from https://getmasum.com/html-preview/keeway/)
23:43:24	13994/13994	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Jan%202017%2016:29:10%20GMT	https://getmasum.com/html-preview/keeway/assets/img/partner/5.png	getmasum.com/html-preview/keeway/assets/img/partner/5.png	(from https://getmasum.com/html-preview/keeway/)
23:43:25	68335/68335	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Jan%202017%2014:32:54%20GMT	https://getmasum.com/html-preview/keeway/assets/img/blog/1.jpg	getmasum.com/html-preview/keeway/assets/img/blog/1.jpg	(from https://getmasum.com/html-preview/keeway/)
23:43:25	104484/104484	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Jan%202017%2014:36:02%20GMT	https://getmasum.com/html-preview/keeway/assets/img/blog/2.jpg	getmasum.com/html-preview/keeway/assets/img/blog/2.jpg	(from https://getmasum.com/html-preview/keeway/)
23:43:25	97163/97163	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2013%20Aug%202016%2013:22:44%20GMT	https://getmasum.com/html-preview/keeway/assets/js/jquery-1.12.4.min.js	getmasum.com/html-preview/keeway/assets/js/jquery-1.12.4.min.js	(from https://getmasum.com/html-preview/keeway/)
23:43:25	37330/37330	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2024%20Dec%202016%2016:28:48%20GMT	https://getmasum.com/html-preview/keeway/assets/js/bootstrap.min.js	getmasum.com/html-preview/keeway/assets/js/bootstrap.min.js	(from https://getmasum.com/html-preview/keeway/)
23:43:25	118688/118688	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Jan%202017%2014:37:12%20GMT	https://getmasum.com/html-preview/keeway/assets/img/blog/3.jpg	getmasum.com/html-preview/keeway/assets/img/blog/3.jpg	(from https://getmasum.com/html-preview/keeway/)
23:43:26	15514/15514	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2013%20Aug%202016%2013:16:54%20GMT	https://getmasum.com/html-preview/keeway/assets/js/modernizr-2.8.3.min.js	getmasum.com/html-preview/keeway/assets/js/modernizr-2.8.3.min.js	(from https://getmasum.com/html-preview/keeway/)
23:43:26	12597/12597	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2014%20Mar%202015%2023:14:14%20GMT	https://getmasum.com/html-preview/keeway/assets/js/jquery.stellar.min.js	getmasum.com/html-preview/keeway/assets/js/jquery.stellar.min.js	(from https://getmasum.com/html-preview/keeway/)
23:43:26	1424/1424	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2005%20Jun%202016%2004:21:34%20GMT	https://getmasum.com/html-preview/keeway/assets/js/jquery.inview.min.js	getmasum.com/html-preview/keeway/assets/js/jquery.inview.min.js	(from https://getmasum.com/html-preview/keeway/)
23:43:27	23890/23890	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2012%20May%202014%2017:48:58%20GMT	https://getmasum.com/html-preview/keeway/assets/owlcarousel/js/owl.carousel.min.js	getmasum.com/html-preview/keeway/assets/owlcarousel/js/owl.carousel.min.js	(from https://getmasum.com/html-preview/keeway/)
23:43:27	53083/53083	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Jan%202016%2020:03:30%20GMT	https://getmasum.com/html-preview/keeway/assets/js/jquery.mixitup.js	getmasum.com/html-preview/keeway/assets/js/jquery.mixitup.js	(from https://getmasum.com/html-preview/keeway/)
23:43:27	5730/5730	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Jan%202016%2020:55:44%20GMT	https://getmasum.com/html-preview/keeway/assets/js/venobox.min.js	getmasum.com/html-preview/keeway/assets/js/venobox.min.js	(from https://getmasum.com/html-preview/keeway/)
23:43:27	3815/3815	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2023%20Feb%202016%2006:21:54%20GMT	https://getmasum.com/html-preview/keeway/assets/js/scrolltopcontrol.js	getmasum.com/html-preview/keeway/assets/js/scrolltopcontrol.js	(from https://getmasum.com/html-preview/keeway/)
23:43:28	1547/1547	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Jun%202016%2011:49:18%20GMT	https://getmasum.com/html-preview/keeway/assets/js/form-contact.js	getmasum.com/html-preview/keeway/assets/js/form-contact.js	(from https://getmasum.com/html-preview/keeway/)
23:43:28	4228/4228	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2003%20Nov%202015%2001:12:34%20GMT	https://getmasum.com/html-preview/keeway/assets/js/jquery.appear.js	getmasum.com/html-preview/keeway/assets/js/jquery.appear.js	(from https://getmasum.com/html-preview/keeway/)
23:43:28	8426/8426	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2020%20Aug%202015%2010:08:22%20GMT	https://getmasum.com/html-preview/keeway/assets/js/wow.min.js	getmasum.com/html-preview/keeway/assets/js/wow.min.js	(from https://getmasum.com/html-preview/keeway/)
23:43:29	1662/1662	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2013%20Aug%202017%2019:31:02%20GMT	https://getmasum.com/html-preview/keeway/assets/js/switcher.js	getmasum.com/html-preview/keeway/assets/js/switcher.js	(from https://getmasum.com/html-preview/keeway/)
23:43:29	4155/4155	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2013%20Aug%202017%2018:50:40%20GMT	https://getmasum.com/html-preview/keeway/assets/js/scripts.js	getmasum.com/html-preview/keeway/assets/js/scripts.js	(from https://getmasum.com/html-preview/keeway/)
23:43:29	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Oct%202018%2018:13:27%20GMT	https://getmasum.com/html-preview/keeway/assets/fonts/glyphicons-halflings-regular.eot	getmasum.com/html-preview/keeway/assets/fonts/glyphicons-halflings-regular.eot	(from https://getmasum.com/html-preview/keeway/assets/css/bootstrap.min.css)
23:43:30	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Oct%202018%2018:13:28%20GMT	https://getmasum.com/html-preview/keeway/assets/fonts/glyphicons-halflings-regular.eot?	getmasum.com/html-preview/keeway/assets/fonts/glyphicons-halflings-regulard41d.eot	(from https://getmasum.com/html-preview/keeway/assets/css/bootstrap.min.css)
23:43:30	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Oct%202018%2018:13:28%20GMT	https://getmasum.com/html-preview/keeway/assets/fonts/glyphicons-halflings-regular.woff2	getmasum.com/html-preview/keeway/assets/fonts/glyphicons-halflings-regular.woff2	(from https://getmasum.com/html-preview/keeway/assets/css/bootstrap.min.css)
23:43:30	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Oct%202018%2018:13:28%20GMT	https://getmasum.com/html-preview/keeway/assets/fonts/glyphicons-halflings-regular.woff	getmasum.com/html-preview/keeway/assets/fonts/glyphicons-halflings-regular.woff	(from https://getmasum.com/html-preview/keeway/assets/css/bootstrap.min.css)
23:43:31	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Oct%202018%2018:13:29%20GMT	https://getmasum.com/html-preview/keeway/assets/fonts/glyphicons-halflings-regular.ttf	getmasum.com/html-preview/keeway/assets/fonts/glyphicons-halflings-regular.ttf	(from https://getmasum.com/html-preview/keeway/assets/css/bootstrap.min.css)
23:43:31	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Oct%202018%2018:13:29%20GMT	https://getmasum.com/html-preview/keeway/assets/fonts/glyphicons-halflings-regular.svg	getmasum.com/html-preview/keeway/assets/fonts/glyphicons-halflings-regular.svg	(from https://getmasum.com/html-preview/keeway/assets/css/bootstrap.min.css)
23:43:32	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2010%20Jan%202016%2012:39:42%20GMT	https://getmasum.com/html-preview/keeway/assets/fonts/fontawesome-webfont.eot?v=4.5.0	getmasum.com/html-preview/keeway/assets/fonts/fontawesome-webfont3295.eot	(from https://getmasum.com/html-preview/keeway/assets/fonts/font-awesome.min.css)
23:43:32	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2010%20Jan%202016%2012:39:42%20GMT	https://getmasum.com/html-preview/keeway/assets/fonts/fontawesome-webfont.eot?	getmasum.com/html-preview/keeway/assets/fonts/fontawesome-webfontd41d.eot	(from https://getmasum.com/html-preview/keeway/assets/fonts/font-awesome.min.css)
23:43:33	83588/83588	---M--	200	added ('OK')	font/woff	date:Sun,%2010%20Jan%202016%2012:39:42%20GMT	https://getmasum.com/html-preview/keeway/assets/fonts/fontawesome-webfont.woff?v=4.5.0	getmasum.com/html-preview/keeway/assets/fonts/fontawesome-webfont3295.woff	(from https://getmasum.com/html-preview/keeway/assets/fonts/font-awesome.min.css)
23:43:33	66624/66624	---M--	200	added ('OK')	font/woff2	date:Sun,%2010%20Jan%202016%2012:39:42%20GMT	https://getmasum.com/html-preview/keeway/assets/fonts/fontawesome-webfont.woff2?v=4.5.0	getmasum.com/html-preview/keeway/assets/fonts/fontawesome-webfont3295.woff2	(from https://getmasum.com/html-preview/keeway/assets/fonts/font-awesome.min.css)
23:43:33	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Oct%202018%2018:13:31%20GMT	https://getmasum.com/html-preview/keeway/assets/owlcarousel/css/grabbing.png	getmasum.com/html-preview/keeway/assets/owlcarousel/css/grabbing.png	(from https://getmasum.com/html-preview/keeway/assets/owlcarousel/css/owl.carousel.css)
23:43:34	365616/365616	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Jan%202016%2012:39:42%20GMT	https://getmasum.com/html-preview/keeway/assets/fonts/fontawesome-webfont.svg?v=4.5.0	getmasum.com/html-preview/keeway/assets/fonts/fontawesome-webfont3295.svg	(from https://getmasum.com/html-preview/keeway/assets/fonts/font-awesome.min.css)
23:43:34	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Oct%202018%2018:13:32%20GMT	https://getmasum.com/html-preview/keeway/assets/owlcarousel/css/AjaxLoader.gif	getmasum.com/html-preview/keeway/assets/owlcarousel/css/AjaxLoader.gif	(from https://getmasum.com/html-preview/keeway/assets/owlcarousel/css/owl.theme.css)
23:43:34	142072/142072	---M--	200	added ('OK')	font/ttf	date:Sun,%2010%20Jan%202016%2012:39:42%20GMT	https://getmasum.com/html-preview/keeway/assets/fonts/fontawesome-webfont.ttf?v=4.5.0	getmasum.com/html-preview/keeway/assets/fonts/fontawesome-webfont3295.ttf	(from https://getmasum.com/html-preview/keeway/assets/fonts/font-awesome.min.css)
23:43:34	15933/15933	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Oct%202014%2004:28:40%20GMT	https://getmasum.com/html-preview/keeway/assets/css/preload-circle.png	getmasum.com/html-preview/keeway/assets/css/preload-circle.png	(from https://getmasum.com/html-preview/keeway/assets/css/venobox.css)
23:43:34	1144/1144	---M--	200	added ('OK')	image/gif	date:Tue,%2012%20Jan%202016%2020:57:32%20GMT	https://getmasum.com/html-preview/keeway/assets/css/close.gif	getmasum.com/html-preview/keeway/assets/css/close.gif	(from https://getmasum.com/html-preview/keeway/assets/css/venobox.css)
23:43:35	1177/1177	---M--	200	added ('OK')	image/gif	date:Tue,%2012%20Jan%202016%2020:57:46%20GMT	https://getmasum.com/html-preview/keeway/assets/css/prev.gif	getmasum.com/html-preview/keeway/assets/css/prev.gif	(from https://getmasum.com/html-preview/keeway/assets/css/venobox.css)
23:43:35	1177/1177	---M--	200	added ('OK')	image/gif	date:Tue,%2012%20Jan%202016%2020:57:40%20GMT	https://getmasum.com/html-preview/keeway/assets/css/next.gif	getmasum.com/html-preview/keeway/assets/css/next.gif	(from https://getmasum.com/html-preview/keeway/assets/css/venobox.css)
23:43:37	104211/104211	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Aug%202017%2010:21:00%20GMT	https://getmasum.com/html-preview/keeway/assets/img/bg/slider3.jpg	getmasum.com/html-preview/keeway/assets/img/bg/slider3.jpg	(from https://getmasum.com/html-preview/keeway/assets/css/style.css)
23:43:37	375033/375033	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202017%2010:26:18%20GMT	https://getmasum.com/html-preview/keeway/assets/img/bg/slider2.png	getmasum.com/html-preview/keeway/assets/img/bg/slider2.png	(from https://getmasum.com/html-preview/keeway/assets/css/style.css)
23:43:37	113917/113917	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Aug%202017%2010:20:48%20GMT	https://getmasum.com/html-preview/keeway/assets/img/bg/slider1.jpg	getmasum.com/html-preview/keeway/assets/img/bg/slider1.jpg	(from https://getmasum.com/html-preview/keeway/assets/css/style.css)
