date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:43:05	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Oct%202018%2018:13:03%20GMT	https://getmasum.com/robots.txt		(from )
23:43:06	39406/39406	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202017%2015:41:22%20GMT	https://getmasum.com/html-preview/keeway/	getmasum.com/html-preview/keeway/index.html	(from )
23:43:06	27466/27466	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Jan%202016%2013:54:56%20GMT	https://getmasum.com/html-preview/keeway/assets/fonts/font-awesome.min.css	getmasum.com/html-preview/keeway/assets/fonts/font-awesome.min.css	(from https://getmasum.com/html-preview/keeway/)
23:43:06	122231/122231	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Dec%202016%2016:28:48%20GMT	https://getmasum.com/html-preview/keeway/assets/css/bootstrap.min.css	getmasum.com/html-preview/keeway/assets/css/bootstrap.min.css	(from https://getmasum.com/html-preview/keeway/)
23:43:09	1478/1478	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202015%2015:59:22%20GMT	https://getmasum.com/html-preview/keeway/assets/owlcarousel/css/owl.carousel.css	getmasum.com/html-preview/keeway/assets/owlcarousel/css/owl.carousel.css	(from https://getmasum.com/html-preview/keeway/)
23:43:09	1685/1685	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Jun%202016%2005:55:20%20GMT	https://getmasum.com/html-preview/keeway/assets/owlcarousel/css/owl.theme.css	getmasum.com/html-preview/keeway/assets/owlcarousel/css/owl.theme.css	(from https://getmasum.com/html-preview/keeway/)
23:43:09	7930/7930	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Jan%202016%2020:56:48%20GMT	https://getmasum.com/html-preview/keeway/assets/css/venobox.css	getmasum.com/html-preview/keeway/assets/css/venobox.css	(from https://getmasum.com/html-preview/keeway/)
23:43:10	69747/69747	---M-Z	200	added ('OK')	text/css	date:Thu,%2026%20Mar%202015%2000:56:24%20GMT	https://getmasum.com/html-preview/keeway/assets/css/animate.css	getmasum.com/html-preview/keeway/assets/css/animate.css	(from https://getmasum.com/html-preview/keeway/)
23:43:10	32790/32790	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202017%2011:03:18%20GMT	https://getmasum.com/html-preview/keeway/assets/css/style.css	getmasum.com/html-preview/keeway/assets/css/style.css	(from https://getmasum.com/html-preview/keeway/)
23:43:10	715/715	---M-Z	200	added ('OK')	text/css	date:Sun,%2013%20Aug%202017%2019:05:14%20GMT	https://getmasum.com/html-preview/keeway/assets/css/responsive.css	getmasum.com/html-preview/keeway/assets/css/responsive.css	(from https://getmasum.com/html-preview/keeway/)
23:43:11	1673/1673	---M-Z	200	added ('OK')	text/css	date:Sun,%2013%20Aug%202017%2019:26:30%20GMT	https://getmasum.com/html-preview/keeway/assets/css/switcher/switcher.css	getmasum.com/html-preview/keeway/assets/css/switcher/switcher.css	(from https://getmasum.com/html-preview/keeway/)
